Termék neve;Vonalkód;ALIMED kódja;OGYÉI eng.sz.;Nettó Bio Vitality ár;Bruttó Bio Vitality ár;Webshopos ár (nettó);Webshopos ár (br);Aktuális akció;Bellis nettó ár;HUPH nettó ár;Phoenix Pharma nettó;Alma nettó ár;Gyöngy nettó ár
Asztaxantin 4 mg kapszula 30x;5999862996017;178880;27396/2021;4 100,00    ;5 207,00    ;5 921,26    ;6 250,00    ;;4 510,00    ;4 510,00    ;;6 499,00    ;6 550,00
B-vitamin komplex kapszula 60x;5999862996000;178881;27403/2021;1 975,00    ;2 508,25    ;2 362,20    ;3 000,00    ;;2 175,00    ;2 175,00    ;;3 650,00    ;3 650,00
CBD kapszula 30x;7109614083782;178877;27405/2021;9 990,00    ;12 687,30    ;9 370,00    ;11 900,00    ;1+1 akció;11 590,00    ;11 590,00    ;;15 649,00    ;15 699,00
E-vitamin kapszula 60x;5999862996079;178884;27404/2021;2 375,00    ;3 016,25    ;2 834,65    ;3 600,00    ;;2 615,00    ;2 615,00    ;;3 749,00    ;3 799,00
Fekete magolaj kapszula 60x;7109612874290;177224;26917/2021;4 340,00    ;5 511,80    ;5 472,00    ;6 950,00    ;;5 150,00    ;5 148,00    ;5 241,00    ;6 949,00    ;6 999,00
Fokhagymaolaj kapszula 60x;5999862996024;178882;27399/2021;1 370,00    ;1 739,90    ;1 652,70    ;2 099,00    ;;1 665,00    ;1 665,00    ;;2 149,00    ;2 199,00
Ginseng kapszula 30x;5999862996093;177231;26903/2021;990,00    ;1 257,30    ;1 339,00    ;1 700,00    ;;1 030,00    ;1 030,00    ;1 051,00    ;1 390,00    ;1 399,00
Kalcium+VitaminD kapszula 30x;7109613096615;177230;26906/2021;835,00    ;1 060,45    ;1 259,00    ;1 600,00    ;;990,00    ;990,00    ;1 010,00    ;1 390,00    ;1 399,00
Koenzim Q10 kapszula 30x;7109615235579;178875;26910/2021;1 200,00    ;1 524,00    ;2 165,00    ;2 750,00    ;5500,- 2+1 akció;1 390,00    ;1 390,00    ;1 449,00    ;1 879,00    ;1 899,00
Koenzim Q10 363 mg kapszula 30x;5999862996055;;;;;;;;;;;;
Kollagén kapszula 30x;5999862996116;178883;27400/2021;3 790,00    ;4 813,30    ;6 260,00    ;7 950,00    ;;4 396,00    ;4 396,00    ;;4 939,00    ;4 999,00
Kurkuma+rizskorpaolaj kapszula 60x;5999862996031;178878;27401/2021;3 110,00    ;3 949,70    ;5 740,15    ;4 750,00    ;;3 425,00    ;3 425,00    ;;4 899,00    ;4 999,00
Ligetszépeolaj kapszula 30x;5999862996062;178879;27402/2021;1 680,00    ;2 133,60    ;2 039,37    ;2 590,00    ;;1 850,00    ;1 850,00    ;;2 699,00    ;2 799,00
Multivitamin kapszula 60x;5999862996123;183610;32839/2023;1 570,00    ;1 993,90    ;2 354,00    ;2 990,00    ;;1 830,00    ;1 830,00    ;;2 469,00    ;2 499,00
Omega 3 kapszula 30x;5999862996086;178876;26911/2021;1 450,00    ;1 841,50    ;1 614,00    ;2 050,00    ;;1 470,00    ;1 470,00    ;1 534,00    ;;
Probiotikum kapszula 30x;5999862996130;177228;26913/2021;2 060,00    ;2 616,20    ;2 323,00    ;2 950,00    ;;2 140,00    ;2 140,00    ;2 179,00    ;;
Vitamin D3 800 NE kapszula 60x;7109611891410;177229;26915/2021;1 270,00    ;1 612,90    ;1 567,00    ;1 990,00    ;;1 510,00    ;1 507,00    ;;;
Vitamin D3 2000 NE kapszula 30x;5999862996048;;;;;;;;;;;;
